Vc_V,Vc_mV,Vsense_ideal_mV,Vsense_floored_mV,Error_mV,Region_code,Region_desc,LT1970_floor_OK,LT1970_linear_OK
1.820000,1820.00,182.0000,182.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.830000,1830.00,183.0000,183.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.840000,1840.00,184.0000,184.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.850000,1850.00,185.0000,185.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.860000,1860.00,186.0000,186.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.870000,1870.00,187.0000,187.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.880000,1880.00,188.0000,188.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.890000,1890.00,189.0000,189.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.900000,1900.00,190.0000,190.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.910000,1910.00,191.0000,191.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.920000,1920.00,192.0000,192.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.930000,1930.00,193.0000,193.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.940000,1940.00,194.0000,194.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.950000,1950.00,195.0000,195.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.960000,1960.00,196.0000,196.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.970000,1970.00,197.0000,197.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.980000,1980.00,198.0000,198.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.990000,1990.00,199.0000,199.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.000000,2000.00,200.0000,200.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.010000,2010.00,201.0000,201.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.020000,2020.00,202.0000,202.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.030000,2030.00,203.0000,203.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.040000,2040.00,204.0000,204.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.050000,2050.00,205.0000,205.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.060000,2060.00,206.0000,206.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.070000,2070.00,207.0000,207.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.080000,2080.00,208.0000,208.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.090000,2090.00,209.0000,209.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.100000,2100.00,210.0000,210.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.110000,2110.00,211.0000,211.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.120000,2120.00,212.0000,212.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.130000,2130.00,213.0000,213.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.140000,2140.00,214.0000,214.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.150000,2150.00,215.0000,215.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.160000,2160.00,216.0000,216.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.170000,2170.00,217.0000,217.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.180000,2180.00,218.0000,218.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.190000,2190.00,219.0000,219.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.200000,2200.00,220.0000,220.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.210000,2210.00,221.0000,221.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.220000,2220.00,222.0000,222.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.230000,2230.00,223.0000,223.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.240000,2240.00,224.0000,224.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.250000,2250.00,225.0000,225.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.260000,2260.00,226.0000,226.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.270000,2270.00,227.0000,227.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.280000,2280.00,228.0000,228.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.290000,2290.00,229.0000,229.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.300000,2300.00,230.0000,230.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.310000,2310.00,231.0000,231.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.320000,2320.00,232.0000,232.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.330000,2330.00,233.0000,233.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.340000,2340.00,234.0000,234.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.350000,2350.00,235.0000,235.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.360000,2360.00,236.0000,236.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.370000,2370.00,237.0000,237.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.380000,2380.00,238.0000,238.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.390000,2390.00,239.0000,239.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.400000,2400.00,240.0000,240.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.410000,2410.00,241.0000,241.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.420000,2420.00,242.0000,242.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.430000,2430.00,243.0000,243.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.440000,2440.00,244.0000,244.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.450000,2450.00,245.0000,245.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.460000,2460.00,246.0000,246.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.470000,2470.00,247.0000,247.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.480000,2480.00,248.0000,248.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.490000,2490.00,249.0000,249.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.500000,2500.00,250.0000,250.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.510000,2510.00,251.0000,251.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.520000,2520.00,252.0000,252.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.530000,2530.00,253.0000,253.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.540000,2540.00,254.0000,254.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.550000,2550.00,255.0000,255.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.560000,2560.00,256.0000,256.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.570000,2570.00,257.0000,257.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.580000,2580.00,258.0000,258.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.590000,2590.00,259.0000,259.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.600000,2600.00,260.0000,260.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.610000,2610.00,261.0000,261.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.620000,2620.00,262.0000,262.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.630000,2630.00,263.0000,263.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.640000,2640.00,264.0000,264.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.650000,2650.00,265.0000,265.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.660000,2660.00,266.0000,266.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.670000,2670.00,267.0000,267.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.680000,2680.00,268.0000,268.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.690000,2690.00,269.0000,269.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.700000,2700.00,270.0000,270.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.710000,2710.00,271.0000,271.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.720000,2720.00,272.0000,272.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.730000,2730.00,273.0000,273.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.740000,2740.00,274.0000,274.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.750000,2750.00,275.0000,275.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.760000,2760.00,276.0000,276.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.770000,2770.00,277.0000,277.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.780000,2780.00,278.0000,278.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.790000,2790.00,279.0000,279.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.800000,2800.00,280.0000,280.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.810000,2810.00,281.0000,281.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.820000,2820.00,282.0000,282.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.830000,2830.00,283.0000,283.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.840000,2840.00,284.0000,284.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.850000,2850.00,285.0000,285.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.860000,2860.00,286.0000,286.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.870000,2870.00,287.0000,287.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.880000,2880.00,288.0000,288.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.890000,2890.00,289.0000,289.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.900000,2900.00,290.0000,290.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.910000,2910.00,291.0000,291.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.920000,2920.00,292.0000,292.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.930000,2930.00,293.0000,293.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.940000,2940.00,294.0000,294.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.950000,2950.00,295.0000,295.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.960000,2960.00,296.0000,296.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.970000,2970.00,297.0000,297.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.980000,2980.00,298.0000,298.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
2.990000,2990.00,299.0000,299.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.000000,3000.00,300.0000,300.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.010000,3010.00,301.0000,301.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.020000,3020.00,302.0000,302.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.030000,3030.00,303.0000,303.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.040000,3040.00,304.0000,304.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.050000,3050.00,305.0000,305.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.060000,3060.00,306.0000,306.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.070000,3070.00,307.0000,307.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.080000,3080.00,308.0000,308.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.090000,3090.00,309.0000,309.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.100000,3100.00,310.0000,310.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.110000,3110.00,311.0000,311.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.120000,3120.00,312.0000,312.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.130000,3130.00,313.0000,313.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.140000,3140.00,314.0000,314.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.150000,3150.00,315.0000,315.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.160000,3160.00,316.0000,316.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.170000,3170.00,317.0000,317.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.180000,3180.00,318.0000,318.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.190000,3190.00,319.0000,319.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.200000,3200.00,320.0000,320.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.210000,3210.00,321.0000,321.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.220000,3220.00,322.0000,322.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.230000,3230.00,323.0000,323.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.240000,3240.00,324.0000,324.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.250000,3250.00,325.0000,325.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.260000,3260.00,326.0000,326.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.270000,3270.00,327.0000,327.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.280000,3280.00,328.0000,328.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.290000,3290.00,329.0000,329.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.300000,3300.00,330.0000,330.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.310000,3310.00,331.0000,331.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.320000,3320.00,332.0000,332.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.330000,3330.00,333.0000,333.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.340000,3340.00,334.0000,334.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.350000,3350.00,335.0000,335.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.360000,3360.00,336.0000,336.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.370000,3370.00,337.0000,337.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.380000,3380.00,338.0000,338.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.390000,3390.00,339.0000,339.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.400000,3400.00,340.0000,340.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.410000,3410.00,341.0000,341.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.420000,3420.00,342.0000,342.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.430000,3430.00,343.0000,343.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.440000,3440.00,344.0000,344.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
